时间点,星期几,昨天增减,昨日波动幅度,当前开盘价,当前收盘价,当前最高价,当前最低价,当前增减,当前波动幅度
2024-01-03 00:00:00,星期三,-0.023,1.912,179.109,179.232,179.235,179.071,0.123,0.164
2024-01-03 01:00:00,星期三,-0.023,1.912,179.253,179.457,179.459,179.236,0.204,0.223
2024-01-03 02:00:00,星期三,-0.023,1.912,179.457,179.303,179.462,179.175,-0.154,0.287
2024-01-03 03:00:00,星期三,-0.023,1.912,179.302,179.346,179.468,179.225,0.044,0.243
2024-01-03 04:00:00,星期三,-0.023,1.912,179.349,179.375,179.402,179.299,0.026,0.103
2024-01-03 05:00:00,星期三,-0.023,1.912,179.375,179.351,179.397,179.281,-0.024,0.116
2024-01-03 06:00:00,星期三,-0.023,1.912,179.352,179.386,179.416,179.316,0.034,0.1
2024-01-03 07:00:00,星期三,-0.023,1.912,179.386,179.509,179.531,179.381,0.123,0.15
2024-01-03 08:00:00,星期三,-0.023,1.912,179.509,179.651,179.706,179.449,0.142,0.257
2024-01-03 09:00:00,星期三,-0.023,1.912,179.651,180.063,180.123,179.508,0.412,0.615
2024-01-03 10:00:00,星期三,-0.023,1.912,180.062,180.234,180.35,179.99,0.172,0.36
2024-01-03 11:00:00,星期三,-0.023,1.912,180.235,180.118,180.336,179.994,-0.117,0.342
2024-01-03 12:00:00,星期三,-0.023,1.912,180.113,180.115,180.294,180.033,0.002,0.261
2024-01-03 13:00:00,星期三,-0.023,1.912,180.114,180.48,180.546,180.041,0.366,0.505
2024-01-03 14:00:00,星期三,-0.023,1.912,180.478,180.449,180.562,180.353,-0.029,0.209
2024-01-03 15:00:00,星期三,-0.023,1.912,180.448,180.629,180.668,180.441,0.181,0.227
2024-01-03 16:00:00,星期三,-0.023,1.912,180.627,180.846,181.046,180.55,0.219,0.496
2024-01-03 17:00:00,星期三,-0.023,1.912,180.864,181.334,181.464,180.673,0.47,0.791
2024-01-03 18:00:00,星期三,-0.023,1.912,181.321,181.465,181.465,181.268,0.144,0.197
2024-01-03 19:00:00,星期三,-0.023,1.912,181.465,181.587,181.745,181.428,0.122,0.317
2024-01-03 20:00:00,星期三,-0.023,1.912,181.588,181.572,181.753,181.456,-0.016,0.297
2024-01-03 21:00:00,星期三,-0.023,1.912,181.572,181.398,181.693,181.39,-0.174,0.303
2024-01-03 22:00:00,星期三,-0.023,1.912,181.407,181.395,181.441,181.254,-0.012,0.187
2024-01-03 23:00:00,星期三,-0.023,1.912,181.396,181.467,181.503,181.384,0.071,0.119
2024-01-04 00:00:00,星期四,2.358,2.682,181.401,181.283,181.443,181.213,-0.118,0.23
2024-01-04 01:00:00,星期四,2.358,2.682,181.284,181.223,181.376,181.162,-0.061,0.214
2024-01-04 02:00:00,星期四,2.358,2.682,181.221,181.508,181.543,181.012,0.287,0.531
2024-01-04 03:00:00,星期四,2.358,2.682,181.508,181.613,181.644,181.289,0.105,0.355
2024-01-04 04:00:00,星期四,2.358,2.682,181.611,181.636,181.644,181.487,0.025,0.157
2024-01-04 05:00:00,星期四,2.358,2.682,181.636,181.666,181.679,181.49,0.03,0.189
2024-01-04 06:00:00,星期四,2.358,2.682,181.664,181.907,181.958,181.652,0.243,0.306
2024-01-04 07:00:00,星期四,2.358,2.682,181.905,182.098,182.256,181.899,0.193,0.357
2024-01-04 08:00:00,星期四,2.358,2.682,182.102,181.981,182.207,181.949,-0.121,0.258
2024-01-04 09:00:00,星期四,2.358,2.682,181.982,181.992,182.052,181.674,0.01,0.378
2024-01-04 10:00:00,星期四,2.358,2.682,181.994,182.382,182.445,181.838,0.388,0.607
2024-01-04 11:00:00,星期四,2.358,2.682,182.378,183.002,183.039,182.371,0.624,0.668
2024-01-04 12:00:00,星期四,2.358,2.682,183.002,183.306,183.352,182.983,0.304,0.369
2024-01-04 13:00:00,星期四,2.358,2.682,183.304,183.064,183.33,182.983,-0.24,0.347
2024-01-04 14:00:00,星期四,2.358,2.682,183.061,183.05,183.095,182.835,-0.011,0.26
2024-01-04 15:00:00,星期四,2.358,2.682,183.046,183.171,183.284,182.836,0.125,0.448
2024-01-04 16:00:00,星期四,2.358,2.682,183.171,183.566,183.678,183.167,0.395,0.511
2024-01-04 17:00:00,星期四,2.358,2.682,183.567,183.708,183.781,183.541,0.141,0.24
2024-01-04 18:00:00,星期四,2.358,2.682,183.707,183.48,183.707,183.406,-0.227,0.301
2024-01-04 19:00:00,星期四,2.358,2.682,183.478,183.396,183.522,183.235,-0.082,0.287
2024-01-04 20:00:00,星期四,2.358,2.682,183.395,183.382,183.522,183.313,-0.013,0.209
2024-01-04 21:00:00,星期四,2.358,2.682,183.382,183.373,183.408,183.221,-0.009,0.187
2024-01-04 22:00:00,星期四,2.358,2.682,183.369,183.399,183.4,183.265,0.03,0.135
2024-01-04 23:00:00,星期四,2.358,2.682,183.399,183.409,183.48,183.372,0.01,0.108
2024-01-05 00:00:00,星期五,2.008,2.769,183.284,183.395,183.45,183.266,0.111,0.184
2024-01-05 01:00:00,星期五,2.008,2.769,183.404,183.588,183.621,183.371,0.184,0.25
2024-01-05 02:00:00,星期五,2.008,2.769,183.585,183.764,183.887,183.504,0.179,0.383
2024-01-05 03:00:00,星期五,2.008,2.769,183.765,183.726,183.795,183.61,-0.039,0.185
2024-01-05 04:00:00,星期五,2.008,2.769,183.726,183.724,183.754,183.645,-0.002,0.109
2024-01-05 05:00:00,星期五,2.008,2.769,183.721,183.783,183.827,183.672,0.062,0.155
2024-01-05 06:00:00,星期五,2.008,2.769,183.781,183.652,183.812,183.636,-0.129,0.176
2024-01-05 07:00:00,星期五,2.008,2.769,183.653,183.437,183.673,183.398,-0.216,0.275
2024-01-05 08:00:00,星期五,2.008,2.769,183.42,184.018,184.13,183.412,0.598,0.718
2024-01-05 09:00:00,星期五,2.008,2.769,184.025,183.937,184.092,183.801,-0.088,0.291
2024-01-05 10:00:00,星期五,2.008,2.769,183.932,183.696,183.951,183.684,-0.236,0.267
2024-01-05 11:00:00,星期五,2.008,2.769,183.694,183.795,183.862,183.645,0.101,0.217
2024-01-05 12:00:00,星期五,2.008,2.769,183.798,183.788,183.932,183.746,-0.01,0.186
2024-01-05 13:00:00,星期五,2.008,2.769,183.787,183.814,183.933,183.698,0.027,0.235
2024-01-05 14:00:00,星期五,2.008,2.769,183.816,183.718,183.948,183.669,-0.098,0.279
2024-01-05 15:00:00,星期五,2.008,2.769,183.715,184.121,184.284,183.644,0.406,0.64
2024-01-05 16:00:00,星期五,2.008,2.769,184.12,184.294,184.304,183.975,0.174,0.329
2024-01-05 17:00:00,星期五,2.008,2.769,184.112,183.791,184.188,183.551,-0.321,0.637
2024-01-05 18:00:00,星期五,2.008,2.769,183.79,184.097,184.106,183.735,0.307,0.371
2024-01-05 19:00:00,星期五,2.008,2.769,184.095,184.164,184.2,184.039,0.069,0.161
2024-01-05 20:00:00,星期五,2.008,2.769,184.162,184.153,184.302,184.113,-0.009,0.189
2024-01-05 21:00:00,星期五,2.008,2.769,184.155,184.058,184.176,183.984,-0.097,0.192
2024-01-05 22:00:00,星期五,2.008,2.769,184.053,184.117,184.147,183.997,0.064,0.15
2024-01-05 23:00:00,星期五,2.008,2.769,184.125,183.915,184.137,183.915,-0.21,0.222
2024-01-08 00:00:00,星期一,0.631,1.038,183.744,183.786,183.867,183.728,0.042,0.139
2024-01-08 01:00:00,星期一,0.631,1.038,183.785,184.04,184.225,183.785,0.255,0.44
2024-01-08 02:00:00,星期一,0.631,1.038,184.041,183.967,184.14,183.953,-0.074,0.187
2024-01-08 03:00:00,星期一,0.631,1.038,183.97,183.656,184.032,183.641,-0.314,0.391
2024-01-08 04:00:00,星期一,0.631,1.038,183.658,183.707,183.797,183.653,0.049,0.144
2024-01-08 05:00:00,星期一,0.631,1.038,183.705,183.524,183.731,183.444,-0.181,0.287
