时间点,星期几,昨天增减,昨日波动幅度,当前开盘价,当前收盘价,当前最高价,当前最低价,当前增减,当前波动幅度
2024-01-03 00:00:00,星期三,-0.01002,0.01491,1.26187,1.26208,1.26213,1.26136,0.00021,0.00077
2024-01-03 01:00:00,星期三,-0.01002,0.01491,1.26192,1.26222,1.26242,1.26191,0.0003,0.00051
2024-01-03 02:00:00,星期三,-0.01002,0.01491,1.26225,1.26312,1.26324,1.26197,0.00087,0.00127
2024-01-03 03:00:00,星期三,-0.01002,0.01491,1.26312,1.26291,1.2634,1.26251,-0.00021,0.00089
2024-01-03 04:00:00,星期三,-0.01002,0.01491,1.26291,1.2629,1.26314,1.26263,-1e-05,0.00051
2024-01-03 05:00:00,星期三,-0.01002,0.01491,1.26289,1.26406,1.26412,1.26289,0.00117,0.00123
2024-01-03 06:00:00,星期三,-0.01002,0.01491,1.26406,1.26413,1.26416,1.26379,7e-05,0.00037
2024-01-03 07:00:00,星期三,-0.01002,0.01491,1.26414,1.26305,1.26416,1.26298,-0.00109,0.00118
2024-01-03 08:00:00,星期三,-0.01002,0.01491,1.26304,1.26437,1.26464,1.26304,0.00133,0.0016
2024-01-03 09:00:00,星期三,-0.01002,0.01491,1.26429,1.26432,1.26466,1.26244,3e-05,0.00222
2024-01-03 10:00:00,星期三,-0.01002,0.01491,1.26433,1.26416,1.26523,1.26353,-0.00017,0.0017
2024-01-03 11:00:00,星期三,-0.01002,0.01491,1.26415,1.2628,1.26468,1.26256,-0.00135,0.00212
2024-01-03 12:00:00,星期三,-0.01002,0.01491,1.26279,1.26266,1.26315,1.26198,-0.00013,0.00117
2024-01-03 13:00:00,星期三,-0.01002,0.01491,1.26265,1.26266,1.26312,1.26185,1e-05,0.00127
2024-01-03 14:00:00,星期三,-0.01002,0.01491,1.26267,1.26246,1.2642,1.262,-0.00021,0.0022
2024-01-03 15:00:00,星期三,-0.01002,0.01491,1.26243,1.26298,1.2643,1.2618,0.00055,0.0025
2024-01-03 16:00:00,星期三,-0.01002,0.01491,1.26299,1.263,1.2642,1.26174,1e-05,0.00246
