时间点,星期几,昨天增减,昨日波动幅度,当前开盘价,当前收盘价,当前最高价,当前最低价,当前增减,当前波动幅度
2024-01-03 00:00:00,星期三,-0.01002,0.01491,1.26187,1.26184,1.2621,1.26141,-3e-05,0.00069
2024-01-03 00:15:00,星期三,-0.01002,0.01491,1.26184,1.26194,1.262,1.26136,0.0001,0.00064
2024-01-03 00:30:00,星期三,-0.01002,0.01491,1.2619,1.26171,1.26209,1.26148,-0.00019,0.00061
2024-01-03 00:45:00,星期三,-0.01002,0.01491,1.26156,1.26208,1.26213,1.26153,0.00052,0.0006
2024-01-03 01:00:00,星期三,-0.01002,0.01491,1.26192,1.26215,1.26219,1.26191,0.00023,0.00028
2024-01-03 01:15:00,星期三,-0.01002,0.01491,1.26214,1.26234,1.26235,1.26201,0.0002,0.00034
2024-01-03 01:30:00,星期三,-0.01002,0.01491,1.26235,1.26223,1.26235,1.26211,-0.00012,0.00024
2024-01-03 01:45:00,星期三,-0.01002,0.01491,1.26222,1.26222,1.26242,1.26219,0.0,0.00023
2024-01-03 02:00:00,星期三,-0.01002,0.01491,1.26225,1.26245,1.26245,1.26197,0.0002,0.00048
2024-01-03 02:15:00,星期三,-0.01002,0.01491,1.26245,1.2629,1.26292,1.26232,0.00045,0.0006
2024-01-03 02:30:00,星期三,-0.01002,0.01491,1.26291,1.26315,1.26324,1.2629,0.00024,0.00034
2024-01-03 02:45:00,星期三,-0.01002,0.01491,1.26316,1.26312,1.26319,1.26292,-4e-05,0.00027
2024-01-03 03:00:00,星期三,-0.01002,0.01491,1.26312,1.26311,1.2634,1.26296,-1e-05,0.00044
2024-01-03 03:15:00,星期三,-0.01002,0.01491,1.2631,1.26295,1.2631,1.26251,-0.00015,0.00059
2024-01-03 03:30:00,星期三,-0.01002,0.01491,1.26294,1.26297,1.26323,1.2628,3e-05,0.00043
2024-01-03 03:45:00,星期三,-0.01002,0.01491,1.26296,1.26291,1.26331,1.26284,-5e-05,0.00047
2024-01-03 04:00:00,星期三,-0.01002,0.01491,1.26291,1.26294,1.26314,1.2627,3e-05,0.00044
2024-01-03 04:15:00,星期三,-0.01002,0.01491,1.26294,1.26275,1.26295,1.26264,-0.00019,0.00031
2024-01-03 04:30:00,星期三,-0.01002,0.01491,1.26275,1.26272,1.26287,1.26263,-3e-05,0.00024
2024-01-03 04:45:00,星期三,-0.01002,0.01491,1.26272,1.2629,1.26301,1.26264,0.00018,0.00037
2024-01-03 05:00:00,星期三,-0.01002,0.01491,1.26289,1.26297,1.26335,1.26289,8e-05,0.00046
2024-01-03 05:15:00,星期三,-0.01002,0.01491,1.26298,1.26322,1.26328,1.26293,0.00024,0.00035
2024-01-03 05:30:00,星期三,-0.01002,0.01491,1.26323,1.2637,1.26371,1.26322,0.00047,0.00049
2024-01-03 05:45:00,星期三,-0.01002,0.01491,1.2637,1.26406,1.26412,1.26368,0.00036,0.00044
2024-01-03 06:00:00,星期三,-0.01002,0.01491,1.26406,1.26401,1.26416,1.26391,-5e-05,0.00025
2024-01-03 06:15:00,星期三,-0.01002,0.01491,1.26404,1.26392,1.26408,1.26381,-0.00012,0.00027
2024-01-03 06:30:00,星期三,-0.01002,0.01491,1.26391,1.26388,1.26404,1.26379,-3e-05,0.00025
2024-01-03 06:45:00,星期三,-0.01002,0.01491,1.26387,1.26413,1.26415,1.26379,0.00026,0.00036
2024-01-03 07:00:00,星期三,-0.01002,0.01491,1.26414,1.26387,1.26416,1.26377,-0.00027,0.00039
2024-01-03 07:15:00,星期三,-0.01002,0.01491,1.26388,1.2637,1.26408,1.26368,-0.00018,0.0004
2024-01-03 07:30:00,星期三,-0.01002,0.01491,1.2637,1.2634,1.26404,1.2633,-0.0003,0.00074
2024-01-03 07:45:00,星期三,-0.01002,0.01491,1.2634,1.26305,1.26341,1.26298,-0.00035,0.00043
2024-01-03 08:00:00,星期三,-0.01002,0.01491,1.26304,1.26369,1.2637,1.26304,0.00065,0.00066
2024-01-03 08:15:00,星期三,-0.01002,0.01491,1.26368,1.26384,1.2639,1.26339,0.00016,0.00051
2024-01-03 08:30:00,星期三,-0.01002,0.01491,1.26384,1.26426,1.26428,1.26384,0.00042,0.00044
2024-01-03 08:45:00,星期三,-0.01002,0.01491,1.26424,1.26437,1.26464,1.26421,0.00013,0.00043
2024-01-03 09:00:00,星期三,-0.01002,0.01491,1.26429,1.26314,1.26429,1.26313,-0.00115,0.00116
2024-01-03 09:15:00,星期三,-0.01002,0.01491,1.26315,1.26338,1.2635,1.26244,0.00023,0.00106
2024-01-03 09:30:00,星期三,-0.01002,0.01491,1.26338,1.26327,1.26405,1.26309,-0.00011,0.00096
2024-01-03 09:45:00,星期三,-0.01002,0.01491,1.26327,1.26432,1.26466,1.26322,0.00105,0.00144
2024-01-03 10:00:00,星期三,-0.01002,0.01491,1.26433,1.26478,1.26479,1.26353,0.00045,0.00126
2024-01-03 10:15:00,星期三,-0.01002,0.01491,1.26479,1.26434,1.26523,1.26401,-0.00045,0.00122
2024-01-03 10:30:00,星期三,-0.01002,0.01491,1.26435,1.26432,1.26487,1.26386,-3e-05,0.00101
2024-01-03 10:45:00,星期三,-0.01002,0.01491,1.26434,1.26416,1.26476,1.26401,-0.00018,0.00075
2024-01-03 11:00:00,星期三,-0.01002,0.01491,1.26415,1.26343,1.26468,1.26333,-0.00072,0.00135
2024-01-03 11:15:00,星期三,-0.01002,0.01491,1.26344,1.26313,1.26353,1.26285,-0.00031,0.00068
2024-01-03 11:30:00,星期三,-0.01002,0.01491,1.26312,1.2635,1.26372,1.2629,0.00038,0.00082
2024-01-03 11:45:00,星期三,-0.01002,0.01491,1.26349,1.2628,1.26374,1.26256,-0.00069,0.00118
2024-01-03 12:00:00,星期三,-0.01002,0.01491,1.26279,1.26278,1.26315,1.26249,-1e-05,0.00066
2024-01-03 12:15:00,星期三,-0.01002,0.01491,1.26277,1.26225,1.26283,1.26225,-0.00052,0.00058
2024-01-03 12:30:00,星期三,-0.01002,0.01491,1.26223,1.26238,1.26315,1.26221,0.00015,0.00094
2024-01-03 12:45:00,星期三,-0.01002,0.01491,1.26236,1.26266,1.26281,1.26198,0.0003,0.00083
2024-01-03 13:00:00,星期三,-0.01002,0.01491,1.26265,1.26297,1.26312,1.26253,0.00032,0.00059
2024-01-03 13:15:00,星期三,-0.01002,0.01491,1.26293,1.26232,1.26296,1.26199,-0.00061,0.00097
2024-01-03 13:30:00,星期三,-0.01002,0.01491,1.26232,1.26247,1.26284,1.26185,0.00015,0.00099
2024-01-03 13:45:00,星期三,-0.01002,0.01491,1.26247,1.26266,1.26312,1.2623,0.00019,0.00082
2024-01-03 14:00:00,星期三,-0.01002,0.01491,1.26267,1.26323,1.26324,1.26245,0.00056,0.00079
2024-01-03 14:15:00,星期三,-0.01002,0.01491,1.26323,1.26266,1.2642,1.26252,-0.00057,0.00168
2024-01-03 14:30:00,星期三,-0.01002,0.01491,1.26266,1.26246,1.26298,1.262,-0.0002,0.00098
2024-01-03 14:45:00,星期三,-0.01002,0.01491,1.26249,1.26246,1.26297,1.26213,-3e-05,0.00084
2024-01-03 15:00:00,星期三,-0.01002,0.01491,1.26243,1.2626,1.26287,1.26231,0.00017,0.00056
2024-01-03 15:15:00,星期三,-0.01002,0.01491,1.26261,1.26332,1.26334,1.2618,0.00071,0.00154
2024-01-03 15:30:00,星期三,-0.01002,0.01491,1.2633,1.26367,1.2643,1.26317,0.00037,0.00113
2024-01-03 15:45:00,星期三,-0.01002,0.01491,1.26363,1.26298,1.26383,1.26227,-0.00065,0.00156
2024-01-03 16:00:00,星期三,-0.01002,0.01491,1.26299,1.26204,1.26315,1.26174,-0.00095,0.00141
2024-01-03 16:15:00,星期三,-0.01002,0.01491,1.26202,1.26268,1.26289,1.2618,0.00066,0.00109
2024-01-03 16:30:00,星期三,-0.01002,0.01491,1.2627,1.26281,1.26306,1.26201,0.00011,0.00105
2024-01-03 16:45:00,星期三,-0.01002,0.01491,1.2628,1.263,1.2642,1.26264,0.0002,0.00156
2024-01-03 17:00:00,星期三,-0.01002,0.01491,1.2629,1.26316,1.26563,1.26236,0.00026,0.00327
2024-01-03 17:15:00,星期三,-0.01002,0.01491,1.26316,1.26415,1.26515,1.26288,0.00099,0.00227
2024-01-03 17:30:00,星期三,-0.01002,0.01491,1.26411,1.26269,1.26485,1.26218,-0.00142,0.00267
2024-01-03 17:45:00,星期三,-0.01002,0.01491,1.2627,1.26279,1.26355,1.2616,9e-05,0.00195
2024-01-03 18:00:00,星期三,-0.01002,0.01491,1.26278,1.26431,1.2644,1.26269,0.00153,0.00171
2024-01-03 18:15:00,星期三,-0.01002,0.01491,1.26431,1.26447,1.26504,1.26426,0.00016,0.00078
2024-01-03 18:30:00,星期三,-0.01002,0.01491,1.26447,1.26424,1.26486,1.2639,-0.00023,0.00096
2024-01-03 18:45:00,星期三,-0.01002,0.01491,1.2642,1.26408,1.26445,1.26376,-0.00012,0.00069
2024-01-03 19:00:00,星期三,-0.01002,0.01491,1.26409,1.26416,1.26433,1.26368,7e-05,0.00065
2024-01-03 19:15:00,星期三,-0.01002,0.01491,1.26416,1.26469,1.26471,1.26407,0.00053,0.00064
2024-01-03 19:30:00,星期三,-0.01002,0.01491,1.26472,1.26467,1.26472,1.26422,-5e-05,0.0005
2024-01-03 19:45:00,星期三,-0.01002,0.01491,1.26467,1.26447,1.2647,1.26397,-0.0002,0.00073
2024-01-03 20:00:00,星期三,-0.01002,0.01491,1.26447,1.26508,1.26531,1.26431,0.00061,0.001
2024-01-03 20:15:00,星期三,-0.01002,0.01491,1.26508,1.26503,1.26546,1.26478,-5e-05,0.00068
