时间点,星期几,昨天增减,昨日波动幅度,当前开盘价,当前收盘价,当前最高价,当前最低价,当前增减,当前波动幅度
2024-01-03 00:00:00,星期三,-0.00666,0.00751,0.62523,0.62514,0.62541,0.6249,-9e-05,0.00051
2024-01-03 01:00:00,星期三,-0.00666,0.00751,0.62522,0.62508,0.62528,0.62477,-0.00014,0.00051
2024-01-03 02:00:00,星期三,-0.00666,0.00751,0.62508,0.62553,0.62574,0.62479,0.00045,0.00095
2024-01-03 03:00:00,星期三,-0.00666,0.00751,0.62552,0.62554,0.62579,0.62447,2e-05,0.00132
2024-01-03 04:00:00,星期三,-0.00666,0.00751,0.62553,0.62553,0.6258,0.62522,0.0,0.00058
2024-01-03 05:00:00,星期三,-0.00666,0.00751,0.62551,0.62671,0.62672,0.62551,0.0012,0.00121
2024-01-03 06:00:00,星期三,-0.00666,0.00751,0.62671,0.62678,0.62702,0.62661,7e-05,0.00041
2024-01-03 07:00:00,星期三,-0.00666,0.00751,0.62679,0.62698,0.62743,0.6266,0.00019,0.00083
2024-01-03 08:00:00,星期三,-0.00666,0.00751,0.62697,0.62744,0.62757,0.62688,0.00047,0.00069
2024-01-03 09:00:00,星期三,-0.00666,0.00751,0.62737,0.62607,0.62737,0.62585,-0.0013,0.00152
2024-01-03 10:00:00,星期三,-0.00666,0.00751,0.62607,0.62601,0.62662,0.62553,-6e-05,0.00109
2024-01-03 11:00:00,星期三,-0.00666,0.00751,0.62601,0.62545,0.62625,0.6252,-0.00056,0.00105
2024-01-03 12:00:00,星期三,-0.00666,0.00751,0.62545,0.62531,0.6258,0.62491,-0.00014,0.00089
2024-01-03 13:00:00,星期三,-0.00666,0.00751,0.62531,0.62422,0.62547,0.62417,-0.00109,0.0013
2024-01-03 14:00:00,星期三,-0.00666,0.00751,0.62422,0.62346,0.62493,0.62342,-0.00076,0.00151
2024-01-03 15:00:00,星期三,-0.00666,0.00751,0.62346,0.62227,0.62417,0.62203,-0.00119,0.00214
2024-01-03 16:00:00,星期三,-0.00666,0.00751,0.62226,0.62359,0.62386,0.62185,0.00133,0.00201
2024-01-03 17:00:00,星期三,-0.00666,0.00751,0.62355,0.62267,0.62531,0.62207,-0.00088,0.00324
2024-01-03 18:00:00,星期三,-0.00666,0.00751,0.62268,0.62328,0.62393,0.62257,0.0006,0.00136
2024-01-03 19:00:00,星期三,-0.00666,0.00751,0.62329,0.62339,0.62359,0.62304,0.0001,0.00055
2024-01-03 20:00:00,星期三,-0.00666,0.00751,0.62332,0.62358,0.62424,0.62332,0.00026,0.00092
2024-01-03 21:00:00,星期三,-0.00666,0.00751,0.62357,0.62423,0.62523,0.62231,0.00066,0.00292
2024-01-03 22:00:00,星期三,-0.00666,0.00751,0.62424,0.62447,0.62461,0.62394,0.00023,0.00067
2024-01-03 23:00:00,星期三,-0.00666,0.00751,0.62444,0.6246,0.6247,0.62417,0.00016,0.00053
2024-01-04 00:00:00,星期四,-0.00063,0.00572,0.62433,0.62449,0.62475,0.62405,0.00016,0.0007
2024-01-04 01:00:00,星期四,-0.00063,0.00572,0.62446,0.62512,0.62516,0.6244,0.00066,0.00076
2024-01-04 02:00:00,星期四,-0.00063,0.00572,0.62513,0.62399,0.62515,0.62393,-0.00114,0.00122
2024-01-04 03:00:00,星期四,-0.00063,0.00572,0.62398,0.62414,0.62438,0.62343,0.00016,0.00095
2024-01-04 04:00:00,星期四,-0.00063,0.00572,0.62413,0.625,0.62508,0.62385,0.00087,0.00123
2024-01-04 05:00:00,星期四,-0.00063,0.00572,0.62502,0.62647,0.62679,0.62488,0.00145,0.00191
2024-01-04 06:00:00,星期四,-0.00063,0.00572,0.62647,0.62645,0.62687,0.62627,-2e-05,0.0006
2024-01-04 07:00:00,星期四,-0.00063,0.00572,0.62644,0.62614,0.62682,0.62596,-0.0003,0.00086
2024-01-04 08:00:00,星期四,-0.00063,0.00572,0.62614,0.62742,0.62742,0.626,0.00128,0.00142
2024-01-04 09:00:00,星期四,-0.00063,0.00572,0.6274,0.62696,0.6285,0.62681,-0.00044,0.00169
2024-01-04 10:00:00,星期四,-0.00063,0.00572,0.627,0.62699,0.62771,0.62627,-1e-05,0.00144
2024-01-04 11:00:00,星期四,-0.00063,0.00572,0.62698,0.62612,0.62714,0.62582,-0.00086,0.00132
2024-01-04 12:00:00,星期四,-0.00063,0.00572,0.62612,0.6254,0.62647,0.62474,-0.00072,0.00173
2024-01-04 13:00:00,星期四,-0.00063,0.00572,0.62539,0.62477,0.62578,0.6247,-0.00062,0.00108
2024-01-04 14:00:00,星期四,-0.00063,0.00572,0.62477,0.62467,0.62526,0.62457,-0.0001,0.00069
2024-01-04 15:00:00,星期四,-0.00063,0.00572,0.62466,0.62344,0.6249,0.62294,-0.00122,0.00196
2024-01-04 16:00:00,星期四,-0.00063,0.00572,0.62343,0.62263,0.62354,0.62214,-0.0008,0.0014
2024-01-04 17:00:00,星期四,-0.00063,0.00572,0.62263,0.62309,0.62399,0.6226,0.00046,0.00139
2024-01-04 18:00:00,星期四,-0.00063,0.00572,0.6231,0.6231,0.62387,0.62274,0.0,0.00113
2024-01-04 19:00:00,星期四,-0.00063,0.00572,0.62309,0.62253,0.62321,0.62206,-0.00056,0.00115
2024-01-04 20:00:00,星期四,-0.00063,0.00572,0.62249,0.62252,0.62286,0.62235,3e-05,0.00051
2024-01-04 21:00:00,星期四,-0.00063,0.00572,0.62253,0.62281,0.62307,0.62214,0.00028,0.00093
2024-01-04 22:00:00,星期四,-0.00063,0.00572,0.62282,0.62308,0.6232,0.62276,0.00026,0.00044
