时间点,星期几,昨天增减,昨日波动幅度,当前开盘价,当前收盘价,当前最高价,当前最低价,当前增减,当前波动幅度
2024-01-03 00:00:00,星期三,0.00918,0.01059,1.33198,1.33207,1.33233,1.33161,9e-05,0.00072
2024-01-03 01:00:00,星期三,0.00918,0.01059,1.33209,1.33218,1.3323,1.33193,9e-05,0.00037
2024-01-03 02:00:00,星期三,0.00918,0.01059,1.33219,1.33221,1.33234,1.33174,2e-05,0.0006
2024-01-03 03:00:00,星期三,0.00918,0.01059,1.33221,1.33264,1.33297,1.33199,0.00043,0.00098
2024-01-03 04:00:00,星期三,0.00918,0.01059,1.33263,1.33276,1.33318,1.33246,0.00013,0.00072
2024-01-03 05:00:00,星期三,0.00918,0.01059,1.33276,1.33252,1.33304,1.33248,-0.00024,0.00056
2024-01-03 06:00:00,星期三,0.00918,0.01059,1.33253,1.33268,1.33294,1.33245,0.00015,0.00049
2024-01-03 07:00:00,星期三,0.00918,0.01059,1.33271,1.33272,1.33297,1.33247,1e-05,0.0005
2024-01-03 08:00:00,星期三,0.00918,0.01059,1.33273,1.33248,1.33276,1.3321,-0.00025,0.00066
2024-01-03 09:00:00,星期三,0.00918,0.01059,1.33253,1.33242,1.33336,1.3323,-0.00011,0.00106
2024-01-03 10:00:00,星期三,0.00918,0.01059,1.33243,1.33251,1.33339,1.33227,8e-05,0.00112
2024-01-03 11:00:00,星期三,0.00918,0.01059,1.33252,1.33254,1.33335,1.33232,2e-05,0.00103
2024-01-03 12:00:00,星期三,0.00918,0.01059,1.33256,1.33346,1.33353,1.33232,0.0009,0.00121
2024-01-03 13:00:00,星期三,0.00918,0.01059,1.33345,1.3343,1.33458,1.33307,0.00085,0.00151
2024-01-03 14:00:00,星期三,0.00918,0.01059,1.33431,1.3345,1.33485,1.33367,0.00019,0.00118
2024-01-03 15:00:00,星期三,0.00918,0.01059,1.33451,1.3362,1.33642,1.33449,0.00169,0.00193
2024-01-03 16:00:00,星期三,0.00918,0.01059,1.3362,1.33505,1.33644,1.33472,-0.00115,0.00172
2024-01-03 17:00:00,星期三,0.00918,0.01059,1.33514,1.33507,1.33674,1.3337,-7e-05,0.00304
2024-01-03 18:00:00,星期三,0.00918,0.01059,1.33505,1.33581,1.33614,1.33428,0.00076,0.00186
2024-01-03 19:00:00,星期三,0.00918,0.01059,1.33581,1.33608,1.33632,1.3355,0.00027,0.00082
2024-01-03 20:00:00,星期三,0.00918,0.01059,1.3361,1.33598,1.33626,1.33498,-0.00012,0.00128
2024-01-03 21:00:00,星期三,0.00918,0.01059,1.33599,1.33553,1.33719,1.33474,-0.00046,0.00245
2024-01-03 22:00:00,星期三,0.00918,0.01059,1.33553,1.33576,1.33584,1.33507,0.00023,0.00077
2024-01-03 23:00:00,星期三,0.00918,0.01059,1.33576,1.33522,1.33588,1.33514,-0.00054,0.00074
2024-01-04 00:00:00,星期四,0.00324,0.00558,1.33519,1.3351,1.33531,1.33451,-9e-05,0.0008
2024-01-04 01:00:00,星期四,0.00324,0.00558,1.33522,1.33483,1.33522,1.33474,-0.00039,0.00048
2024-01-04 02:00:00,星期四,0.00324,0.00558,1.33484,1.33502,1.33525,1.3348,0.00018,0.00045
2024-01-04 03:00:00,星期四,0.00324,0.00558,1.33502,1.33465,1.33513,1.33438,-0.00037,0.00075
2024-01-04 04:00:00,星期四,0.00324,0.00558,1.33467,1.33511,1.33549,1.33449,0.00044,0.001
2024-01-04 05:00:00,星期四,0.00324,0.00558,1.33511,1.33384,1.33514,1.3337,-0.00127,0.00144
2024-01-04 06:00:00,星期四,0.00324,0.00558,1.33383,1.33385,1.33409,1.33353,2e-05,0.00056
2024-01-04 07:00:00,星期四,0.00324,0.00558,1.33386,1.33398,1.33434,1.33382,0.00012,0.00052
2024-01-04 08:00:00,星期四,0.00324,0.00558,1.33399,1.33249,1.33406,1.33225,-0.0015,0.00181
2024-01-04 09:00:00,星期四,0.00324,0.00558,1.33252,1.33198,1.33277,1.33171,-0.00054,0.00106
2024-01-04 10:00:00,星期四,0.00324,0.00558,1.33197,1.33237,1.33261,1.33169,0.0004,0.00092
2024-01-04 11:00:00,星期四,0.00324,0.00558,1.33236,1.33236,1.33304,1.33191,0.0,0.00113
2024-01-04 12:00:00,星期四,0.00324,0.00558,1.33237,1.33231,1.33298,1.33167,-6e-05,0.00131
2024-01-04 13:00:00,星期四,0.00324,0.00558,1.33231,1.33375,1.33389,1.33203,0.00144,0.00186
2024-01-04 14:00:00,星期四,0.00324,0.00558,1.33376,1.33341,1.33419,1.33288,-0.00035,0.00131
2024-01-04 15:00:00,星期四,0.00324,0.00558,1.33343,1.33566,1.33615,1.33302,0.00223,0.00313
2024-01-04 16:00:00,星期四,0.00324,0.00558,1.33566,1.33567,1.33658,1.33492,1e-05,0.00166
2024-01-04 17:00:00,星期四,0.00324,0.00558,1.33568,1.33534,1.33615,1.33414,-0.00034,0.00201
2024-01-04 18:00:00,星期四,0.00324,0.00558,1.33538,1.3357,1.33629,1.33493,0.00032,0.00136
2024-01-04 19:00:00,星期四,0.00324,0.00558,1.3357,1.33545,1.33604,1.33502,-0.00025,0.00102
2024-01-04 20:00:00,星期四,0.00324,0.00558,1.33547,1.33575,1.33591,1.33475,0.00028,0.00116
2024-01-04 21:00:00,星期四,0.00324,0.00558,1.33577,1.33562,1.33614,1.33524,-0.00015,0.0009
2024-01-04 22:00:00,星期四,0.00324,0.00558,1.33562,1.33523,1.33567,1.33494,-0.00039,0.00073
2024-01-04 23:00:00,星期四,0.00324,0.00558,1.33521,1.33483,1.33531,1.33458,-0.00038,0.00073
2024-01-05 00:00:00,星期五,-0.00036,0.00491,1.33473,1.33496,1.33541,1.3341,0.00023,0.00131
2024-01-05 01:00:00,星期五,-0.00036,0.00491,1.33511,1.33559,1.33562,1.33483,0.00048,0.00079
2024-01-05 02:00:00,星期五,-0.00036,0.00491,1.33558,1.33522,1.33587,1.33501,-0.00036,0.00086
2024-01-05 03:00:00,星期五,-0.00036,0.00491,1.33524,1.33502,1.33554,1.33473,-0.00022,0.00081
2024-01-05 04:00:00,星期五,-0.00036,0.00491,1.33501,1.33552,1.33554,1.33459,0.00051,0.00095
2024-01-05 05:00:00,星期五,-0.00036,0.00491,1.33552,1.33607,1.33618,1.33528,0.00055,0.0009
2024-01-05 06:00:00,星期五,-0.00036,0.00491,1.33608,1.3364,1.33644,1.3357,0.00032,0.00074
2024-01-05 07:00:00,星期五,-0.00036,0.00491,1.33641,1.33621,1.33673,1.33607,-0.0002,0.00066
2024-01-05 08:00:00,星期五,-0.00036,0.00491,1.33614,1.33665,1.33718,1.3359,0.00051,0.00128
2024-01-05 09:00:00,星期五,-0.00036,0.00491,1.33666,1.33612,1.33673,1.33546,-0.00054,0.00127
2024-01-05 10:00:00,星期五,-0.00036,0.00491,1.33613,1.33628,1.33673,1.33552,0.00015,0.00121
2024-01-05 11:00:00,星期五,-0.00036,0.00491,1.33627,1.33727,1.33732,1.33571,0.001,0.00161
2024-01-05 12:00:00,星期五,-0.00036,0.00491,1.33722,1.33721,1.33797,1.33708,-1e-05,0.00089
2024-01-05 13:00:00,星期五,-0.00036,0.00491,1.33721,1.33728,1.33744,1.33691,7e-05,0.00053
2024-01-05 14:00:00,星期五,-0.00036,0.00491,1.33728,1.33737,1.33751,1.33678,9e-05,0.00073
2024-01-05 15:00:00,星期五,-0.00036,0.00491,1.33735,1.33591,1.33987,1.33568,-0.00144,0.00419
2024-01-05 16:00:00,星期五,-0.00036,0.00491,1.33592,1.33304,1.33683,1.33246,-0.00288,0.00437
2024-01-05 17:00:00,星期五,-0.00036,0.00491,1.33304,1.3323,1.33359,1.3287,-0.00074,0.00489
2024-01-05 18:00:00,星期五,-0.00036,0.00491,1.33231,1.33323,1.33382,1.33153,0.00092,0.00229
2024-01-05 19:00:00,星期五,-0.00036,0.00491,1.33323,1.33412,1.33521,1.33318,0.00089,0.00203
2024-01-05 20:00:00,星期五,-0.00036,0.00491,1.33413,1.33473,1.33585,1.33395,0.0006,0.0019
2024-01-05 21:00:00,星期五,-0.00036,0.00491,1.33474,1.33617,1.33667,1.33454,0.00143,0.00213
2024-01-05 22:00:00,星期五,-0.00036,0.00491,1.33617,1.33641,1.33685,1.33592,0.00024,0.00093
2024-01-05 23:00:00,星期五,-0.00036,0.00491,1.33639,1.33626,1.33673,1.33608,-0.00013,0.00065
2024-01-08 00:00:00,星期一,0.00153,0.01117,1.33489,1.3361,1.33622,1.33446,0.00121,0.00176
2024-01-08 01:00:00,星期一,0.00153,0.01117,1.33612,1.33598,1.33652,1.33596,-0.00014,0.00056
