时间点,星期几,昨天增减,昨日波动幅度,当前开盘价,当前收盘价,当前最高价,当前最低价,当前增减,当前波动幅度
2024-01-03 00:00:00,星期三,1.128,1.403,141.935,142.014,142.03,141.913,0.079,0.117
2024-01-03 01:00:00,星期三,1.128,1.403,142.018,142.174,142.181,142.004,0.156,0.177
2024-01-03 02:00:00,星期三,1.128,1.403,142.174,141.954,142.174,141.858,-0.22,0.316
2024-01-03 03:00:00,星期三,1.128,1.403,141.955,142.016,142.136,141.907,0.061,0.229
2024-01-03 04:00:00,星期三,1.128,1.403,142.015,142.038,142.063,141.986,0.023,0.077
2024-01-03 05:00:00,星期三,1.128,1.403,142.04,141.889,142.045,141.879,-0.151,0.166
2024-01-03 06:00:00,星期三,1.128,1.403,141.891,141.906,141.944,141.856,0.015,0.088
2024-01-03 07:00:00,星期三,1.128,1.403,141.906,142.12,142.134,141.905,0.214,0.229
2024-01-03 08:00:00,星期三,1.128,1.403,142.121,142.091,142.131,142.014,-0.03,0.117
2024-01-03 09:00:00,星期三,1.128,1.403,142.086,142.418,142.468,142.037,0.332,0.431
2024-01-03 10:00:00,星期三,1.128,1.403,142.42,142.575,142.643,142.396,0.155,0.247
2024-01-03 11:00:00,星期三,1.128,1.403,142.576,142.638,142.711,142.499,0.062,0.212
2024-01-03 12:00:00,星期三,1.128,1.403,142.636,142.649,142.793,142.599,0.013,0.194
2024-01-03 13:00:00,星期三,1.128,1.403,142.65,142.933,142.981,142.591,0.283,0.39
2024-01-03 14:00:00,星期三,1.128,1.403,142.932,142.933,142.988,142.788,0.001,0.2
2024-01-03 15:00:00,星期三,1.128,1.403,142.936,143.017,143.087,142.817,0.081,0.27
2024-01-03 16:00:00,星期三,1.128,1.403,143.016,143.182,143.411,142.962,0.166,0.449
2024-01-03 17:00:00,星期三,1.128,1.403,143.227,143.6,143.728,142.811,0.373,0.917
2024-01-03 18:00:00,星期三,1.128,1.403,143.599,143.556,143.599,143.339,-0.043,0.26
2024-01-03 19:00:00,星期三,1.128,1.403,143.558,143.606,143.728,143.495,0.048,0.233
2024-01-03 20:00:00,星期三,1.128,1.403,143.601,143.568,143.67,143.465,-0.033,0.205
2024-01-03 21:00:00,星期三,1.128,1.403,143.561,143.238,143.73,143.136,-0.323,0.594
2024-01-03 22:00:00,星期三,1.128,1.403,143.237,143.239,143.277,143.12,0.002,0.157
2024-01-03 23:00:00,星期三,1.128,1.403,143.241,143.297,143.302,143.231,0.056,0.071
2024-01-04 00:00:00,星期四,1.362,1.874,143.209,143.128,143.238,143.092,-0.081,0.146
2024-01-04 01:00:00,星期四,1.362,1.874,143.142,142.996,143.149,142.948,-0.146,0.201
2024-01-04 02:00:00,星期四,1.362,1.874,142.997,143.266,143.318,142.852,0.269,0.466
2024-01-04 03:00:00,星期四,1.362,1.874,143.269,143.43,143.45,143.121,0.161,0.329
2024-01-04 04:00:00,星期四,1.362,1.874,143.43,143.473,143.487,143.349,0.043,0.138
2024-01-04 05:00:00,星期四,1.362,1.874,143.473,143.342,143.473,143.224,-0.131,0.249
2024-01-04 06:00:00,星期四,1.362,1.874,143.343,143.567,143.602,143.33,0.224,0.272
2024-01-04 07:00:00,星期四,1.362,1.874,143.565,143.776,143.892,143.565,0.211,0.327
2024-01-04 08:00:00,星期四,1.362,1.874,143.775,143.525,143.802,143.515,-0.25,0.287
2024-01-04 09:00:00,星期四,1.362,1.874,143.526,143.381,143.584,143.178,-0.145,0.406
2024-01-04 10:00:00,星期四,1.362,1.874,143.38,143.589,143.644,143.364,0.209,0.28
2024-01-04 11:00:00,星期四,1.362,1.874,143.589,143.865,143.891,143.564,0.276,0.327
2024-01-04 12:00:00,星期四,1.362,1.874,143.865,144.252,144.269,143.863,0.387,0.406
2024-01-04 13:00:00,星期四,1.362,1.874,144.251,144.255,144.294,144.132,0.004,0.162
2024-01-04 14:00:00,星期四,1.362,1.874,144.257,144.218,144.266,144.06,-0.039,0.206
2024-01-04 15:00:00,星期四,1.362,1.874,144.215,144.537,144.55,144.098,0.322,0.452
2024-01-04 16:00:00,星期四,1.362,1.874,144.537,144.785,144.849,144.518,0.248,0.331
2024-01-04 17:00:00,星期四,1.362,1.874,144.784,144.661,144.8,144.472,-0.123,0.328
2024-01-04 18:00:00,星期四,1.362,1.874,144.66,144.594,144.66,144.461,-0.066,0.199
2024-01-04 19:00:00,星期四,1.362,1.874,144.592,144.599,144.651,144.511,0.007,0.14
2024-01-04 20:00:00,星期四,1.362,1.874,144.594,144.604,144.711,144.547,0.01,0.164
2024-01-04 21:00:00,星期四,1.362,1.874,144.603,144.578,144.644,144.513,-0.025,0.131
2024-01-04 22:00:00,星期四,1.362,1.874,144.577,144.588,144.612,144.512,0.011,0.1
2024-01-04 23:00:00,星期四,1.362,1.874,144.588,144.616,144.67,144.573,0.028,0.097
2024-01-05 00:00:00,星期五,1.407,1.997,144.534,144.576,144.623,144.53,0.042,0.093
2024-01-05 01:00:00,星期五,1.407,1.997,144.583,144.775,144.776,144.573,0.192,0.203
2024-01-05 02:00:00,星期五,1.407,1.997,144.773,144.802,144.901,144.658,0.029,0.243
2024-01-05 03:00:00,星期五,1.407,1.997,144.802,144.742,144.842,144.671,-0.06,0.171
2024-01-05 04:00:00,星期五,1.407,1.997,144.744,144.818,144.842,144.678,0.074,0.164
2024-01-05 05:00:00,星期五,1.407,1.997,144.815,144.926,144.956,144.771,0.111,0.185
2024-01-05 06:00:00,星期五,1.407,1.997,144.924,144.851,144.947,144.8,-0.073,0.147
2024-01-05 07:00:00,星期五,1.407,1.997,144.851,144.727,144.873,144.658,-0.124,0.215
2024-01-05 08:00:00,星期五,1.407,1.997,144.726,145.237,145.366,144.695,0.511,0.671
