时间点,星期几,昨天增减,昨日波动幅度,当前开盘价,当前收盘价,当前最高价,当前最低价,当前增减,当前波动幅度
2024-01-03 01:00:00,星期三,-6.09,22.95,2059.09,2059.31,2059.48,2058.72,0.22,0.76
2024-01-03 01:30:00,星期三,-6.09,22.95,2059.21,2059.61,2060.11,2058.77,0.4,1.34
2024-01-03 02:00:00,星期三,-6.09,22.95,2059.64,2062.07,2062.07,2059.21,2.43,2.86
2024-01-03 02:30:00,星期三,-6.09,22.95,2062.06,2060.15,2062.09,2059.98,-1.91,2.11
2024-01-03 03:00:00,星期三,-6.09,22.95,2060.18,2061.24,2062.19,2059.52,1.06,2.67
2024-01-03 03:30:00,星期三,-6.09,22.95,2061.24,2062.49,2062.55,2060.98,1.25,1.57
2024-01-03 04:00:00,星期三,-6.09,22.95,2062.53,2064.03,2064.34,2061.55,1.5,2.79
2024-01-03 04:30:00,星期三,-6.09,22.95,2064.03,2064.65,2065.16,2063.23,0.62,1.93
2024-01-03 05:00:00,星期三,-6.09,22.95,2064.61,2063.63,2065.59,2063.33,-0.98,2.26
2024-01-03 05:30:00,星期三,-6.09,22.95,2063.63,2065.1,2065.35,2063.34,1.47,2.01
2024-01-03 06:00:00,星期三,-6.09,22.95,2065.09,2065.14,2065.14,2064.42,0.05,0.72
2024-01-03 06:30:00,星期三,-6.09,22.95,2065.1,2064.85,2065.56,2064.47,-0.25,1.09
2024-01-03 07:00:00,星期三,-6.09,22.95,2064.84,2063.46,2064.84,2063.45,-1.38,1.39
2024-01-03 07:30:00,星期三,-6.09,22.95,2063.49,2064.07,2065.89,2063.49,0.58,2.4
2024-01-03 08:00:00,星期三,-6.09,22.95,2064.09,2064.66,2065.37,2063.37,0.57,2.0
2024-01-03 08:30:00,星期三,-6.09,22.95,2064.66,2064.28,2065.08,2063.68,-0.38,1.4
2024-01-03 09:00:00,星期三,-6.09,22.95,2064.18,2061.46,2064.22,2060.81,-2.72,3.41
2024-01-03 09:30:00,星期三,-6.09,22.95,2061.49,2062.98,2063.77,2061.0,1.49,2.77
2024-01-03 10:00:00,星期三,-6.09,22.95,2062.92,2060.66,2064.29,2058.79,-2.26,5.5
2024-01-03 10:30:00,星期三,-6.09,22.95,2060.68,2060.02,2061.7,2059.42,-0.66,2.28
2024-01-03 11:00:00,星期三,-6.09,22.95,2060.02,2058.77,2060.55,2057.84,-1.25,2.71
2024-01-03 11:30:00,星期三,-6.09,22.95,2058.8,2056.78,2059.05,2054.19,-2.02,4.86
2024-01-03 12:00:00,星期三,-6.09,22.95,2056.82,2052.95,2057.13,2052.6,-3.87,4.53
2024-01-03 12:30:00,星期三,-6.09,22.95,2052.95,2054.87,2055.9,2052.95,1.92,2.95
2024-01-03 13:00:00,星期三,-6.09,22.95,2054.9,2052.35,2055.64,2051.55,-2.55,4.09
2024-01-03 13:30:00,星期三,-6.09,22.95,2052.31,2047.47,2052.31,2046.55,-4.84,5.76
2024-01-03 14:00:00,星期三,-6.09,22.95,2047.53,2043.5,2048.09,2041.8,-4.03,6.29
2024-01-03 14:30:00,星期三,-6.09,22.95,2043.47,2045.65,2048.29,2042.01,2.18,6.28
2024-01-03 15:00:00,星期三,-6.09,22.95,2045.52,2042.81,2047.94,2041.39,-2.71,6.55
2024-01-03 15:30:00,星期三,-6.09,22.95,2042.74,2040.99,2044.95,2038.68,-1.75,6.27
2024-01-03 16:00:00,星期三,-6.09,22.95,2041.07,2036.98,2042.28,2034.52,-4.09,7.76
2024-01-03 16:30:00,星期三,-6.09,22.95,2037.06,2037.65,2039.67,2031.77,0.59,7.9
2024-01-03 17:00:00,星期三,-6.09,22.95,2037.61,2037.57,2048.72,2035.49,-0.04,13.23
