时间点,星期几,昨天增减,昨日波动幅度,当前开盘价,当前收盘价,当前最高价,当前最低价,当前增减,当前波动幅度
2024-01-03 01:00:00,星期三,-6.28,22.95,2058.92,2058.95,2059.34,2058.72,0.03,0.62
2024-01-03 01:15:00,星期三,-6.28,22.95,2058.95,2059.31,2059.48,2058.77,0.36,0.71
2024-01-03 01:30:00,星期三,-6.28,22.95,2059.31,2059.4,2059.61,2058.77,0.09,0.84
2024-01-03 01:45:00,星期三,-6.28,22.95,2059.32,2059.61,2060.11,2059.03,0.29,1.08
2024-01-03 02:00:00,星期三,-6.28,22.95,2059.61,2060.93,2060.96,2059.21,1.32,1.75
2024-01-03 02:15:00,星期三,-6.28,22.95,2060.93,2062.07,2062.07,2060.33,1.14,1.74
2024-01-03 02:30:00,星期三,-6.28,22.95,2062.06,2060.34,2062.09,2059.98,-1.72,2.11
2024-01-03 02:45:00,星期三,-6.28,22.95,2060.34,2060.15,2060.84,2060.06,-0.19,0.78
2024-01-03 03:00:00,星期三,-6.28,22.95,2060.18,2062.14,2062.19,2060.07,1.96,2.12
2024-01-03 03:15:00,星期三,-6.28,22.95,2062.12,2061.24,2062.12,2059.52,-0.88,2.6
2024-01-03 03:30:00,星期三,-6.28,22.95,2061.24,2061.37,2062.03,2060.98,0.13,1.05
2024-01-03 03:45:00,星期三,-6.28,22.95,2061.37,2062.49,2062.55,2061.17,1.12,1.38
2024-01-03 04:00:00,星期三,-6.28,22.95,2062.53,2064.05,2064.06,2061.55,1.52,2.51
2024-01-03 04:15:00,星期三,-6.28,22.95,2064.05,2064.03,2064.34,2062.69,-0.02,1.65
2024-01-03 04:30:00,星期三,-6.28,22.95,2064.04,2064.58,2065.16,2063.23,0.54,1.93
2024-01-03 04:45:00,星期三,-6.28,22.95,2064.58,2064.65,2065.13,2063.99,0.07,1.14
2024-01-03 05:00:00,星期三,-6.28,22.95,2064.61,2063.67,2065.59,2063.56,-0.94,2.03
2024-01-03 05:15:00,星期三,-6.28,22.95,2063.67,2063.63,2064.01,2063.33,-0.04,0.68
2024-01-03 05:30:00,星期三,-6.28,22.95,2063.63,2065.09,2065.19,2063.34,1.46,1.85
