时间点,星期几,昨天增减,昨日波动幅度,当前开盘价,当前收盘价,当前最高价,当前最低价,当前增减,当前波动幅度
2024-01-03 01:00:00,星期三,-6.09,22.95,2059.09,2059.61,2060.11,2058.72,0.52,1.39
2024-01-03 02:00:00,星期三,-6.09,22.95,2059.64,2060.15,2062.09,2059.21,0.51,2.88
2024-01-03 03:00:00,星期三,-6.09,22.95,2060.18,2062.49,2062.55,2059.52,2.31,3.03
2024-01-03 04:00:00,星期三,-6.09,22.95,2062.53,2064.65,2065.16,2061.55,2.12,3.61
2024-01-03 05:00:00,星期三,-6.09,22.95,2064.61,2065.1,2065.59,2063.33,0.49,2.26
2024-01-03 06:00:00,星期三,-6.09,22.95,2065.09,2064.85,2065.56,2064.42,-0.24,1.14
2024-01-03 07:00:00,星期三,-6.09,22.95,2064.84,2064.07,2065.89,2063.45,-0.77,2.44
2024-01-03 08:00:00,星期三,-6.09,22.95,2064.09,2064.28,2065.37,2063.37,0.19,2.0
2024-01-03 09:00:00,星期三,-6.09,22.95,2064.18,2062.98,2064.22,2060.81,-1.2,3.41
2024-01-03 10:00:00,星期三,-6.09,22.95,2062.92,2060.02,2064.29,2058.79,-2.9,5.5
2024-01-03 11:00:00,星期三,-6.09,22.95,2060.02,2056.78,2060.55,2054.19,-3.24,6.36
2024-01-03 12:00:00,星期三,-6.09,22.95,2056.82,2054.87,2057.13,2052.6,-1.95,4.53
2024-01-03 13:00:00,星期三,-6.09,22.95,2054.9,2047.47,2055.64,2046.55,-7.43,9.09
2024-01-03 14:00:00,星期三,-6.09,22.95,2047.53,2045.65,2048.29,2041.8,-1.88,6.49
2024-01-03 15:00:00,星期三,-6.09,22.95,2045.52,2040.99,2047.94,2038.68,-4.53,9.26
2024-01-03 16:00:00,星期三,-6.09,22.95,2041.07,2037.65,2042.28,2031.77,-3.42,10.51
2024-01-03 17:00:00,星期三,-6.09,22.95,2037.61,2032.53,2048.72,2031.85,-5.08,16.87
2024-01-03 18:00:00,星期三,-6.09,22.95,2032.53,2032.41,2036.07,2031.32,-0.12,4.75
2024-01-03 19:00:00,星期三,-6.09,22.95,2032.5,2033.39,2033.73,2030.61,0.89,3.12
2024-01-03 20:00:00,星期三,-6.09,22.95,2033.39,2035.68,2036.29,2032.95,2.29,3.34
2024-01-03 21:00:00,星期三,-6.09,22.95,2035.68,2036.62,2042.27,2030.6,0.94,11.67
2024-01-03 22:00:00,星期三,-6.09,22.95,2036.63,2040.93,2042.27,2036.48,4.3,5.79
2024-01-03 23:00:00,星期三,-6.09,22.95,2041.28,2041.04,2041.74,2040.32,-0.24,1.42
2024-01-04 01:00:00,星期四,-18.05,35.29,2042.23,2042.96,2043.91,2042.14,0.73,1.77
2024-01-04 02:00:00,星期四,-18.05,35.29,2042.97,2042.16,2043.15,2041.6,-0.81,1.55
2024-01-04 03:00:00,星期四,-18.05,35.29,2042.18,2042.2,2043.27,2040.09,0.02,3.18
2024-01-04 04:00:00,星期四,-18.05,35.29,2042.2,2044.57,2044.68,2042.2,2.37,2.48
2024-01-04 05:00:00,星期四,-18.05,35.29,2044.6,2044.61,2046.87,2044.07,0.01,2.8
2024-01-04 06:00:00,星期四,-18.05,35.29,2044.51,2043.06,2044.63,2042.38,-1.45,2.25
2024-01-04 07:00:00,星期四,-18.05,35.29,2043.06,2043.74,2044.29,2042.36,0.68,1.93
2024-01-04 08:00:00,星期四,-18.05,35.29,2043.76,2047.26,2048.65,2043.63,3.5,5.02
2024-01-04 09:00:00,星期四,-18.05,35.29,2047.19,2047.63,2049.55,2046.52,0.44,3.03
2024-01-04 10:00:00,星期四,-18.05,35.29,2047.63,2046.78,2048.62,2045.4,-0.85,3.22
2024-01-04 11:00:00,星期四,-18.05,35.29,2046.75,2047.99,2050.9,2046.26,1.24,4.64
2024-01-04 12:00:00,星期四,-18.05,35.29,2047.96,2047.96,2050.78,2046.65,0.0,4.13
2024-01-04 13:00:00,星期四,-18.05,35.29,2047.97,2045.16,2048.41,2044.95,-2.81,3.46
2024-01-04 14:00:00,星期四,-18.05,35.29,2045.18,2046.0,2046.22,2043.34,0.82,2.88
2024-01-04 15:00:00,星期四,-18.05,35.29,2045.99,2040.24,2047.2,2038.83,-5.75,8.37
2024-01-04 16:00:00,星期四,-18.05,35.29,2040.24,2039.35,2042.58,2036.22,-0.89,6.36
2024-01-04 17:00:00,星期四,-18.05,35.29,2039.34,2045.14,2047.63,2039.12,5.8,8.51
2024-01-04 18:00:00,星期四,-18.05,35.29,2045.29,2044.73,2046.74,2044.1,-0.56,2.64
2024-01-04 19:00:00,星期四,-18.05,35.29,2044.73,2043.29,2045.06,2040.87,-1.44,4.19
2024-01-04 20:00:00,星期四,-18.05,35.29,2043.3,2043.15,2044.1,2041.59,-0.15,2.51
